task_display,task,strategy,seed,emotion,f1,baseline_f1,delta_vs_text_f1
current,state_current,text_plus_vadbert_global,42,surprise,0.6737446197991391,0.6781097838652047,-0.0043651640660655
current,state_current,text_plus_vadbert_global,42,sadness,0.5744643790280439,0.5802800466744458,-0.0058156676464018
current,state_current,text_plus_vadbert_global,42,disgust,0.5225511898173769,0.5286508860432027,-0.0060996962258257
current,state_current,text_plus_vadbert_global,42,anger,0.527997904250442,0.5255413075467732,0.0024565967036688
current,state_current,text_plus_vadbert_global,42,anticipation,0.7279245866172153,0.7308743588956114,-0.0029497722783961
current,state_current,text_plus_vadbert_global,73,joy,0.6541262640975488,0.6532924439901184,0.0008338201074303
current,state_current,text_plus_vadbert_global,73,trust,0.6099532113994045,0.6052926471855874,0.0046605642138171
current,state_current,text_plus_vadbert_global,73,fear,0.5534073614790598,0.556292785676672,-0.0028854241976121
current,state_current,text_plus_vadbert_global,73,surprise,0.675530573271358,0.6722772983382069,0.003253274933151
current,state_current,text_plus_vadbert_global,73,sadness,0.5795528287416671,0.5782601322706461,0.001292696471021
current,state_current,text_plus_vadbert_global,73,disgust,0.5280509765895554,0.5250194296646141,0.0030315469249412
current,state_current,text_plus_vadbert_global,73,anger,0.5320378151260504,0.5276488529372763,0.0043889621887741
current,state_current,text_plus_vadbert_global,73,anticipation,0.7293519695044473,0.726186422313717,0.0031655471907302
current,state_current,text_plus_vadbert_global,105,joy,0.6544796798029556,0.6528261037655609,0.0016535760373946
current,state_current,text_plus_vadbert_global,105,trust,0.6098245899637784,0.608815542093169,0.0010090478706094
current,state_current,text_plus_vadbert_global,105,fear,0.5535359555025824,0.5554271937314782,-0.0018912382288958
current,state_current,text_plus_vadbert_global,105,surprise,0.6754357357683807,0.675226421270869,0.0002093144975117
current,state_current,text_plus_vadbert_global,105,sadness,0.577056225379014,0.5749274521183981,0.0021287732606158
current,state_current,text_plus_vadbert_global,105,disgust,0.524546777821887,0.5248763056624519,-0.0003295278405649
current,state_current,text_plus_vadbert_global,105,anger,0.5265133740028156,0.5240893066980024,0.0024240673048132
current,state_current,text_plus_vadbert_global,105,anticipation,0.7314086256877478,0.7290955760229503,0.0023130496647975
current,state_current,text_plus_vadbert_emoflow,12,joy,0.6536201831691723,0.6534896516697,0.0001305314994722
current,state_current,text_plus_vadbert_emoflow,12,trust,0.6101603798942747,0.6093406356462115,0.0008197442480631
current,state_current,text_plus_vadbert_emoflow,12,fear,0.5513535854515396,0.5541886350322203,-0.0028350495806807
current,state_current,text_plus_vadbert_emoflow,12,surprise,0.6762974490831586,0.6744755617080184,0.0018218873751402
current,state_current,text_plus_vadbert_emoflow,12,sadness,0.5781181619256017,0.5767677932864229,0.0013503686391788
current,state_current,text_plus_vadbert_emoflow,12,disgust,0.5224126801979488,0.5246661215590079,-0.002253441361059
current,state_current,text_plus_vadbert_emoflow,12,anger,0.5250414354687613,0.5270576699148127,-0.0020162344460514
current,state_current,text_plus_vadbert_emoflow,12,anticipation,0.7300996518189459,0.7279575724703188,0.002142079348627
current,state_current,text_plus_vadbert_emoflow,24,joy,0.6576746922139586,0.6534212626538413,0.0042534295601173
current,state_current,text_plus_vadbert_emoflow,24,trust,0.6115256523755322,0.6074307895747131,0.0040948628008191
current,state_current,text_plus_vadbert_emoflow,24,fear,0.5549839555849845,0.5506179066834804,0.004366048901504
current,state_current,text_plus_vadbert_emoflow,24,surprise,0.6765816808309726,0.6767367346220203,-0.0001550537910477
current,state_current,text_plus_vadbert_emoflow,24,sadness,0.5779356220756525,0.574085684430512,0.0038499376451405
current,state_current,text_plus_vadbert_emoflow,24,disgust,0.5203364125189577,0.5203557037654578,-1.929124650013048e-05
current,state_current,text_plus_vadbert_emoflow,24,anger,0.5237760270118177,0.5238530176350734,-7.699062325572381e-05
current,state_current,text_plus_vadbert_emoflow,24,anticipation,0.7296465081906639,0.732987106017192,-0.003340597826528
current,state_current,text_plus_vadbert_emoflow,42,joy,0.6571315996847912,0.6563774759241348,0.0007541237606564
current,state_current,text_plus_vadbert_emoflow,42,trust,0.6072069261368068,0.6043636699109738,0.002843256225833
current,state_current,text_plus_vadbert_emoflow,42,fear,0.557289800931375,0.5498395409899834,0.0074502599413915
current,state_current,text_plus_vadbert_emoflow,42,surprise,0.672418242819747,0.6781097838652047,-0.0056915410454576
current,state_current,text_plus_vadbert_emoflow,42,sadness,0.582861809484921,0.5802800466744458,0.0025817628104751
current,state_current,text_plus_vadbert_emoflow,42,disgust,0.5235929505400796,0.5286508860432027,-0.005057935503123
current,state_current,text_plus_vadbert_emoflow,42,anger,0.5277398196228478,0.5255413075467732,0.0021985120760745
current,state_current,text_plus_vadbert_emoflow,42,anticipation,0.7319744447824764,0.7308743588956114,0.001100085886865
current,state_current,text_plus_vadbert_emoflow,73,joy,0.6532948746394498,0.6532924439901184,2.4306493313641653e-06
current,state_current,text_plus_vadbert_emoflow,73,trust,0.6122879493715391,0.6052926471855874,0.0069953021859516
current,state_current,text_plus_vadbert_emoflow,73,fear,0.558097497599277,0.556292785676672,0.001804711922605
current,state_current,text_plus_vadbert_emoflow,73,surprise,0.6750898672456134,0.6722772983382069,0.0028125689074064
current,state_current,text_plus_vadbert_emoflow,73,sadness,0.578865299268322,0.5782601322706461,0.0006051669976758
current,state_current,text_plus_vadbert_emoflow,73,disgust,0.5328930328930329,0.5250194296646141,0.0078736032284187
current,state_current,text_plus_vadbert_emoflow,73,anger,0.5243972445464983,0.5276488529372763,-0.0032516083907779
current,state_current,text_plus_vadbert_emoflow,73,anticipation,0.7281435635866016,0.726186422313717,0.0019571412728845
current,state_current,text_plus_vadbert_emoflow,105,joy,0.6536447052337259,0.6528261037655609,0.0008186014681649
current,state_current,text_plus_vadbert_emoflow,105,trust,0.6073174578142249,0.608815542093169,-0.0014980842789441
current,state_current,text_plus_vadbert_emoflow,105,fear,0.5530514887316993,0.5554271937314782,-0.0023757049997789
current,state_current,text_plus_vadbert_emoflow,105,surprise,0.673616680032077,0.675226421270869,-0.0016097412387919
current,state_current,text_plus_vadbert_emoflow,105,sadness,0.57148056044156,0.5749274521183981,-0.003446891676838
current,state_current,text_plus_vadbert_emoflow,105,disgust,0.5258009906577215,0.5248763056624519,0.0009246849952695
current,state_current,text_plus_vadbert_emoflow,105,anger,0.5197454072038189,0.5240893066980024,-0.0043438994941834
current,state_current,text_plus_vadbert_emoflow,105,anticipation,0.7277307899946014,0.7290955760229503,-0.0013647860283488
current,state_current,text_plus_all_affective,12,joy,0.6532654863535052,0.6534896516697,-0.0002241653161947
current,state_current,text_plus_all_affective,12,trust,0.6089968357136748,0.6093406356462115,-0.0003437999325367
current,state_current,text_plus_all_affective,12,fear,0.5549396804695141,0.5541886350322203,0.0007510454372938
current,state_current,text_plus_all_affective,12,surprise,0.6764047339801684,0.6744755617080184,0.00192917227215
current,state_current,text_plus_all_affective,12,sadness,0.5757422686198574,0.5767677932864229,-0.0010255246665654
current,state_current,text_plus_all_affective,12,disgust,0.5299834710743802,0.5246661215590079,0.0053173495153722
current,state_current,text_plus_all_affective,12,anger,0.5308144060001415,0.5270576699148127,0.0037567360853287
current,state_current,text_plus_all_affective,12,anticipation,0.7297468928603829,0.7279575724703188,0.001789320390064
current,state_current,text_plus_all_affective,24,joy,0.6591633385775949,0.6534212626538413,0.0057420759237536
current,state_current,text_plus_all_affective,24,trust,0.6045319665497707,0.6074307895747131,-0.0028988230249423
current,state_current,text_plus_all_affective,24,fear,0.5532844437509752,0.5506179066834804,0.0026665370674947
current,state_current,text_plus_all_affective,24,surprise,0.6769395781194136,0.6767367346220203,0.0002028434973933
current,state_current,text_plus_all_affective,24,sadness,0.5786099290780142,0.574085684430512,0.0045242446475022
current,state_current,text_plus_all_affective,24,disgust,0.5266635205285513,0.5203557037654578,0.0063078167630934
current,state_current,text_plus_all_affective,24,anger,0.5301837270341208,0.5238530176350734,0.0063307093990473
current,state_current,text_plus_all_affective,24,anticipation,0.7317609315589354,0.732987106017192,-0.0012261744582565
current,state_current,text_plus_all_affective,42,joy,0.657614300446889,0.6563774759241348,0.0012368245227541
current,state_current,text_plus_all_affective,42,trust,0.6079889330797165,0.6043636699109738,0.0036252631687426
current,state_current,text_plus_all_affective,42,fear,0.5535363964894167,0.5498395409899834,0.0036968554994332
current,state_current,text_plus_all_affective,42,surprise,0.6664099799784383,0.6781097838652047,-0.0116998038867663
current,state_current,text_plus_all_affective,42,sadness,0.5821744997946371,0.5802800466744458,0.0018944531201913
current,state_current,text_plus_all_affective,42,disgust,0.5234718479648277,0.5286508860432027,-0.0051790380783749
current,state_current,text_plus_all_affective,42,anger,0.530114017437961,0.5255413075467732,0.0045727098911878
current,state_current,text_plus_all_affective,42,anticipation,0.7306805960977109,0.7308743588956114,-0.0001937627979005
current,state_current,text_plus_all_affective,73,joy,0.6563352441193911,0.6532924439901184,0.0030428001292727
current,state_current,text_plus_all_affective,73,trust,0.6075252888644348,0.6052926471855874,0.0022326416788474
current,state_current,text_plus_all_affective,73,fear,0.551563951687829,0.556292785676672,-0.0047288339888429
current,state_current,text_plus_all_affective,73,surprise,0.6757718434388815,0.6722772983382069,0.0034945451006745
current,state_current,text_plus_all_affective,73,sadness,0.5788691295490833,0.5782601322706461,0.0006089972784372
current,state_current,text_plus_all_affective,73,disgust,0.5259801926468594,0.5250194296646141,0.0009607629822452
current,state_current,text_plus_all_affective,73,anger,0.528065714844514,0.5276488529372763,0.0004168619072377
current,state_current,text_plus_all_affective,73,anticipation,0.727346253149594,0.726186422313717,0.001159830835877
current,state_current,text_plus_all_affective,105,joy,0.6510743487355011,0.6528261037655609,-0.0017517550300598
current,state_current,text_plus_all_affective,105,trust,0.6058821054403164,0.608815542093169,-0.0029334366528526
current,state_current,text_plus_all_affective,105,fear,0.5538917565288496,0.5554271937314782,-0.0015354372026286
current,state_current,text_plus_all_affective,105,surprise,0.6748147367681663,0.675226421270869,-0.0004116845027026
current,state_current,text_plus_all_affective,105,sadness,0.5792771623587334,0.5749274521183981,0.0043497102403352
current,state_current,text_plus_all_affective,105,disgust,0.5169675090252708,0.5248763056624519,-0.0079087966371811
current,state_current,text_plus_all_affective,105,anger,0.5218581104193747,0.5240893066980024,-0.0022311962786276
current,state_current,text_plus_all_affective,105,anticipation,0.7244312205091216,0.7290955760229503,-0.0046643555138287
forecast,forecast_next,text_only,12,joy,0.6204839563188531,0.6204839563188531,0.0
forecast,forecast_next,text_only,12,trust,0.5849166910260157,0.5849166910260157,0.0
forecast,forecast_next,text_only,12,fear,0.5260907695680772,0.5260907695680772,0.0
forecast,forecast_next,text_only,12,surprise,0.6954029850746268,0.6954029850746268,0.0
forecast,forecast_next,text_only,12,sadness,0.5241635687732342,0.5241635687732342,0.0
forecast,forecast_next,text_only,12,disgust,0.4744165821133497,0.4744165821133497,0.0
forecast,forecast_next,text_only,12,anger,0.4615003304692663,0.4615003304692663,0.0
forecast,forecast_next,text_only,12,anticipation,0.7408970208431851,0.7408970208431851,0.0
forecast,forecast_next,text_only,24,joy,0.6274907674201534,0.6274907674201534,0.0
forecast,forecast_next,text_only,24,trust,0.592465016146394,0.592465016146394,0.0
forecast,forecast_next,text_only,24,fear,0.5243066216354518,0.5243066216354518,0.0
forecast,forecast_next,text_only,24,surprise,0.6999925777480888,0.6999925777480888,0.0
forecast,forecast_next,text_only,24,sadness,0.5241813449549059,0.5241813449549059,0.0
forecast,forecast_next,text_only,24,disgust,0.467055264517081,0.467055264517081,0.0
forecast,forecast_next,text_only,24,anger,0.4661990747649605,0.4661990747649605,0.0
forecast,forecast_next,text_only,24,anticipation,0.7452498745249875,0.7452498745249875,0.0
forecast,forecast_next,text_only,42,joy,0.6047223213830384,0.6047223213830384,0.0
forecast,forecast_next,text_only,42,trust,0.5889797947837092,0.5889797947837092,0.0
forecast,forecast_next,text_only,42,fear,0.5222854433380749,0.5222854433380749,0.0
forecast,forecast_next,text_only,42,surprise,0.6979955281842074,0.6979955281842074,0.0
forecast,forecast_next,text_only,42,sadness,0.5288151771864933,0.5288151771864933,0.0
forecast,forecast_next,text_only,42,disgust,0.4759331674369001,0.4759331674369001,0.0
forecast,forecast_next,text_only,42,anger,0.4721105343957891,0.4721105343957891,0.0
forecast,forecast_next,text_only,42,anticipation,0.7413329403529455,0.7413329403529455,0.0
forecast,forecast_next,text_only,73,joy,0.6287100221984707,0.6287100221984707,0.0
forecast,forecast_next,text_only,73,trust,0.5884339383706205,0.5884339383706205,0.0
forecast,forecast_next,text_only,73,fear,0.5228357593258295,0.5228357593258295,0.0
forecast,forecast_next,text_only,73,surprise,0.7023964474389404,0.7023964474389404,0.0
forecast,forecast_next,text_only,73,sadness,0.5177807571984933,0.5177807571984933,0.0
forecast,forecast_next,text_only,73,disgust,0.4727662616154396,0.4727662616154396,0.0
forecast,forecast_next,text_only,73,anger,0.4734408033826638,0.4734408033826638,0.0
forecast,forecast_next,text_only,73,anticipation,0.742306428649655,0.742306428649655,0.0
forecast,forecast_next,text_only,105,joy,0.6148141104877817,0.6148141104877817,0.0
forecast,forecast_next,text_only,105,trust,0.5852684376741594,0.5852684376741594,0.0
forecast,forecast_next,text_only,105,fear,0.5279835860025077,0.5279835860025077,0.0
forecast,forecast_next,text_only,105,surprise,0.6987013987900274,0.6987013987900274,0.0
forecast,forecast_next,text_only,105,sadness,0.5253802340864994,0.5253802340864994,0.0
forecast,forecast_next,text_only,105,disgust,0.4817686638897789,0.4817686638897789,0.0
forecast,forecast_next,text_only,105,anger,0.4784278581487645,0.4784278581487645,0.0
forecast,forecast_next,text_only,105,anticipation,0.7411628075778471,0.7411628075778471,0.0
forecast,forecast_next,text_plus_vadlex_emoflow,12,joy,0.6185099401659911,0.6204839563188531,-0.0019740161528619
forecast,forecast_next,text_plus_vadlex_emoflow,12,trust,0.5918439092986465,0.5849166910260157,0.0069272182726307
forecast,forecast_next,text_plus_vadlex_emoflow,12,fear,0.5246188316301438,0.5260907695680772,-0.0014719379379334
forecast,forecast_next,text_plus_vadlex_emoflow,12,surprise,0.7004405286343612,0.6954029850746268,0.0050375435597344
forecast,forecast_next,text_plus_vadlex_emoflow,12,sadness,0.5245200023776972,0.5241635687732342,0.000356433604463
forecast,forecast_next,text_plus_vadlex_emoflow,12,disgust,0.4714917047018764,0.4744165821133497,-0.0029248774114733
forecast,forecast_next,text_plus_vadlex_emoflow,12,anger,0.4650721890039376,0.4615003304692663,0.0035718585346712
forecast,forecast_next,text_plus_vadlex_emoflow,12,anticipation,0.7412388373003167,0.7408970208431851,0.0003418164571316
forecast,forecast_next,text_plus_vadlex_emoflow,24,joy,0.6273399014778325,0.6274907674201534,-0.0001508659423209
forecast,forecast_next,text_plus_vadlex_emoflow,24,trust,0.5921626810961773,0.592465016146394,-0.0003023350502167
forecast,forecast_next,text_plus_vadlex_emoflow,24,fear,0.5240872758695183,0.5243066216354518,-0.0002193457659335
forecast,forecast_next,text_plus_vadlex_emoflow,24,surprise,0.7003410876480282,0.6999925777480888,0.0003485098999393
forecast,forecast_next,text_plus_vadlex_emoflow,24,sadness,0.5216178521617852,0.5241813449549059,-0.0025634927931206
forecast,forecast_next,text_plus_vadlex_emoflow,24,disgust,0.4694902071696245,0.467055264517081,0.0024349426525434
forecast,forecast_next,text_plus_vadlex_emoflow,24,anger,0.4663420223431681,0.4661990747649605,0.0001429475782076
forecast,forecast_next,text_plus_vadlex_emoflow,24,anticipation,0.7432977293626654,0.7452498745249875,-0.0019521451623221
forecast,forecast_next,text_plus_vadlex_emoflow,42,joy,0.6278729905672911,0.6047223213830384,0.0231506691842526
forecast,forecast_next,text_plus_vadlex_emoflow,42,trust,0.5922152560083594,0.5889797947837092,0.0032354612246502
forecast,forecast_next,text_plus_vadlex_emoflow,42,fear,0.5223526621605598,0.5222854433380749,6.721882248483801e-05
forecast,forecast_next,text_plus_vadlex_emoflow,42,surprise,0.6999613152804642,0.6979955281842074,0.0019657870962568
forecast,forecast_next,text_plus_vadlex_emoflow,42,sadness,0.5250647211108496,0.5288151771864933,-0.0037504560756437
forecast,forecast_next,text_plus_vadlex_emoflow,42,disgust,0.4703795672224193,0.4759331674369001,-0.0055536002144808
forecast,forecast_next,text_plus_vadlex_emoflow,42,anger,0.4731406300746996,0.4721105343957891,0.0010300956789104
forecast,forecast_next,text_plus_vadlex_emoflow,42,anticipation,0.7433455961913006,0.7413329403529455,0.002012655838355
forecast,forecast_next,text_plus_vadlex_emoflow,73,joy,0.6285153986718367,0.6287100221984707,-0.000194623526634
forecast,forecast_next,text_plus_vadlex_emoflow,73,trust,0.5929474384564205,0.5884339383706205,0.0045135000857999
forecast,forecast_next,text_plus_vadlex_emoflow,73,fear,0.5272894521668029,0.5228357593258295,0.0044536928409734
forecast,forecast_next,text_plus_vadlex_emoflow,73,surprise,0.7023100280585771,0.7023964474389404,-8.641938036324515e-05
forecast,forecast_next,text_plus_vadlex_emoflow,73,sadness,0.5302269751200349,0.5177807571984933,0.0124462179215416
forecast,forecast_next,text_plus_vadlex_emoflow,73,disgust,0.4775395107875926,0.4727662616154396,0.0047732491721529
forecast,forecast_next,text_plus_vadlex_emoflow,73,anger,0.4674560459275206,0.4734408033826638,-0.0059847574551432
forecast,forecast_next,text_plus_vadlex_emoflow,73,anticipation,0.7412880458756065,0.742306428649655,-0.0010183827740485
forecast,forecast_next,text_plus_vadlex_emoflow,105,joy,0.6247104247104247,0.6148141104877817,0.009896314222643
forecast,forecast_next,text_plus_vadlex_emoflow,105,trust,0.5842644962523567,0.5852684376741594,-0.0010039414218027
forecast,forecast_next,text_plus_vadlex_emoflow,105,fear,0.5228944246737841,0.5279835860025077,-0.0050891613287236
forecast,forecast_next,text_plus_vadlex_emoflow,105,surprise,0.7002411137901532,0.6987013987900274,0.0015397150001258
forecast,forecast_next,text_plus_vadlex_emoflow,105,sadness,0.523986546291379,0.5253802340864994,-0.0013936877951203
forecast,forecast_next,text_plus_vadlex_emoflow,105,disgust,0.4779135028062066,0.4817686638897789,-0.0038551610835722
forecast,forecast_next,text_plus_vadlex_emoflow,105,anger,0.4755462355408239,0.4784278581487645,-0.0028816226079406
forecast,forecast_next,text_plus_vadlex_emoflow,105,anticipation,0.7430349518778493,0.7411628075778471,0.0018721443000021
forecast,forecast_next,text_plus_vadbert_global,12,joy,0.6118758163367829,0.6204839563188531,-0.0086081399820702
forecast,forecast_next,text_plus_vadbert_global,12,trust,0.5891238670694864,0.5849166910260157,0.0042071760434706
