task_display,task,strategy,factor,bin,n,micro_f1,macro_f1,micro_p,micro_r
current,state_current,text_plus_all_affective,transition_bin,low,13430,0.5552289792704163,0.5325049803644749,0.419607382944125,0.8203867584398558
current,state_current,text_plus_all_affective,transition_bin,high,9340,0.7077002986625114,0.6899176686989111,0.6363443371192018,0.7970802531510929
current,state_current,text_plus_all_affective,distance_bin,high,7570,0.7187886975121017,0.7046726870760208,0.6528129233443243,0.7995992611377227
current,state_current,text_plus_all_affective,distance_bin,low,7590,0.3973952407465685,0.3385369813061711,0.2609027336300064,0.8333840999086202
current,state_current,text_plus_all_affective,distance_bin,medium,7610,0.6802348837581401,0.6574200059215436,0.5876482459292842,0.8074527083491605
forecast,forecast_next,text_only,length_bin,short,6472,0.5667093265077587,0.5402238270897106,0.4549686948145769,0.7512060647829083
forecast,forecast_next,text_only,length_bin,medium,6148,0.626717170835588,0.6076754165670324,0.4951866052464623,0.8533941814033086
forecast,forecast_next,text_only,length_bin,long,5596,0.621505376344086,0.5962742231231387,0.480444483331875,0.8798269508091652
forecast,forecast_next,text_only,transition_bin,low,10744,0.5353639032773971,0.5082029580981182,0.3932873901835972,0.8381479128517508
forecast,forecast_next,text_only,transition_bin,high,7472,0.6839168332875942,0.6635769907393931,0.5859420484571634,0.8212346608919436
forecast,forecast_next,text_only,distance_bin,high,6056,0.69297723785967,0.6761625911927831,0.6047432989972403,0.8113567212874372
forecast,forecast_next,text_only,distance_bin,low,6072,0.3864098393982517,0.3309628844770277,0.2483909961122545,0.8696099736932403
forecast,forecast_next,text_only,distance_bin,medium,6088,0.6608266026595652,0.634506912816966,0.5470023493923485,0.8344690265486726
forecast,forecast_next,text_plus_vadlex_emoflow,length_bin,short,6472,0.5674036467921019,0.5419518778475304,0.4471353530417786,0.7761755818268569
forecast,forecast_next,text_plus_vadlex_emoflow,length_bin,medium,6148,0.6271844992554302,0.6092660578194519,0.4900366437531762,0.87093553907587
forecast,forecast_next,text_plus_vadlex_emoflow,length_bin,long,5596,0.6218877740616872,0.5971228272069609,0.476821380744793,0.8938204347593869
forecast,forecast_next,text_plus_vadlex_emoflow,transition_bin,low,10744,0.5334280325082086,0.5074497957402933,0.3874202986791144,0.8560484323031503
forecast,forecast_next,text_plus_vadlex_emoflow,transition_bin,high,7472,0.6872402647375712,0.6676087075514291,0.5811153771067873,0.8407871198568873
forecast,forecast_next,text_plus_vadlex_emoflow,distance_bin,high,6056,0.6969030292773735,0.6811361087254578,0.6004506892895016,0.830272370688075
forecast,forecast_next,text_plus_vadlex_emoflow,distance_bin,low,6072,0.381463173504696,0.3268336231899658,0.2433080051707286,0.8826489763239163
forecast,forecast_next,text_plus_vadlex_emoflow,distance_bin,medium,6088,0.6621225873850423,0.6370402757453512,0.5401078483417618,0.855353982300885
forecast,forecast_next,text_plus_vadbert_global,length_bin,short,6472,0.5664751259445844,0.5403960787337031,0.4504428379181923,0.7630281503472406
forecast,forecast_next,text_plus_vadbert_global,length_bin,medium,6148,0.6261053507646427,0.6070549604321773,0.4927943665047218,0.858290549534132
forecast,forecast_next,text_plus_vadbert_global,length_bin,long,5596,0.6212626462442774,0.5954763997349533,0.4799161718477122,0.8806281044704374
forecast,forecast_next,text_plus_vadbert_global,transition_bin,low,10744,0.5346164317081543,0.5073658240750922,0.3912237544175733,0.8439403565155649
forecast,forecast_next,text_plus_vadbert_global,transition_bin,high,7472,0.6837298601561892,0.6633196575652629,0.582734449284656,0.827072152653548
forecast,forecast_next,text_plus_vadbert_global,distance_bin,high,6056,0.6929787730347562,0.6759957792306656,0.6017663263652568,0.8167821401077752
forecast,forecast_next,text_plus_vadbert_global,distance_bin,low,6072,0.3845185968090996,0.3288453639238356,0.246491369575738,0.8738419306874071
forecast,forecast_next,text_plus_vadbert_global,distance_bin,medium,6088,0.6610923756214582,0.6348687939600378,0.544436809253851,0.8413716814159292
forecast,forecast_next,text_plus_vadbert_emoflow,length_bin,short,6472,0.5689292394014963,0.5420994185437684,0.4497458801786539,0.7740550283624026
forecast,forecast_next,text_plus_vadbert_emoflow,length_bin,medium,6148,0.628947777835399,0.6094233703315957,0.4941732540135278,0.8648031945236737
forecast,forecast_next,text_plus_vadbert_emoflow,length_bin,long,5596,0.6223312607685969,0.5964204703905431,0.4791913015891327,0.887411205469209
forecast,forecast_next,text_plus_vadbert_emoflow,transition_bin,low,10744,0.5354397248858581,0.5077743431484423,0.3903014954998118,0.8524234836877312
forecast,forecast_next,text_plus_vadbert_emoflow,transition_bin,high,7472,0.6875355425735408,0.6665115995317703,0.5844558219253334,0.8347613219094248
forecast,forecast_next,text_plus_vadbert_emoflow,distance_bin,high,6056,0.695786912933666,0.6785367871798309,0.6026088356862955,0.8230506983393819
forecast,forecast_next,text_plus_vadbert_emoflow,distance_bin,low,6072,0.3848301999700793,0.3287729463812012,0.2460542677677518,0.8826489763239163
forecast,forecast_next,text_plus_vadbert_emoflow,distance_bin,medium,6088,0.6642154324184361,0.6370360668384573,0.5445513727710162,0.851283185840708
forecast,forecast_next,text_plus_all_affective,length_bin,short,6472,0.567397084797081,0.5430670480919626,0.4475505205143907,0.7749032497481843
forecast,forecast_next,text_plus_all_affective,length_bin,medium,6148,0.628373393724158,0.610055228095921,0.4916109634640681,0.8705552386385245
forecast,forecast_next,text_plus_all_affective,length_bin,long,5596,0.6220827686080838,0.5983693430608533,0.4767772781603961,0.8947818191529135
forecast,forecast_next,text_plus_all_affective,transition_bin,low,10744,0.5335850023885258,0.5081265720387912,0.3876549062097921,0.8557120968646063
forecast,forecast_next,text_plus_all_affective,transition_bin,high,7472,0.6881712142233184,0.6688382164816863,0.5825232161110023,0.8406301980353388
