task_display,task,strategy,seed,n_dev,n_test,include_current,val_micro_f1,val_macro_f1,test_micro_f1,test_macro_f1,test_micro_p,test_micro_r,model_path
forecast,forecast_next,text_plus_vadlex_emoflow,105,20236,18216,False,0.5981121852453875,0.5792719185715346,0.6030072034734557,0.5815739619928721,0.4722377852050772,0.833936064958548,finetuned_bert_tiny_forecast_next_text_plus_vadlex_emoflow_seed105.pt
forecast,forecast_next,text_plus_vadbert_global,12,20236,18216,False,0.6093595616635229,0.5859849075094183,0.6024439357466598,0.5761623523154379,0.4894018350970299,0.7833919006516324,finetuned_bert_tiny_forecast_next_text_plus_vadbert_global_seed12.pt
forecast,forecast_next,text_plus_vadbert_global,24,20236,18216,False,0.5905917884719492,0.5725214627210458,0.6032948352582371,0.5787358804829944,0.4760617836782199,0.8233427723380301,finetuned_bert_tiny_forecast_next_text_plus_vadbert_global_seed24.pt
forecast,forecast_next,text_plus_vadbert_global,42,20236,18216,False,0.6001954488342873,0.5814074009913723,0.6020348594779418,0.5812099763098877,0.4625361549445319,0.8620142608576985,finetuned_bert_tiny_forecast_next_text_plus_vadbert_global_seed42.pt
forecast,forecast_next,text_plus_vadbert_global,73,20236,18216,False,0.5903140265177949,0.5744508222160314,0.60293135867801,0.5825719432535881,0.4703431536498896,0.8396165262188257,finetuned_bert_tiny_forecast_next_text_plus_vadbert_global_seed73.pt
forecast,forecast_next,text_plus_vadbert_global,105,20236,18216,False,0.5978422078110914,0.5784298788241619,0.6032094552206971,0.5800109589940067,0.477039550713421,0.8201187267578725,finetuned_bert_tiny_forecast_next_text_plus_vadbert_global_seed105.pt
forecast,forecast_next,text_plus_vadbert_emoflow,12,20236,18216,False,0.605116091490465,0.5842033716289672,0.602327586749498,0.5790412961554393,0.4772629794025235,0.8162123434887926,finetuned_bert_tiny_forecast_next_text_plus_vadbert_emoflow_seed12.pt
forecast,forecast_next,text_plus_vadbert_emoflow,24,20236,18216,False,0.5941492263083857,0.5738611720344924,0.6052471246502953,0.5786722731334418,0.4761611300230856,0.8303537920917062,finetuned_bert_tiny_forecast_next_text_plus_vadbert_emoflow_seed24.pt
forecast,forecast_next,text_plus_vadbert_emoflow,42,20236,18216,False,0.601313134184123,0.5826405072216722,0.6039054521292958,0.5809739598086048,0.4722863741339492,0.8372283443075978,finetuned_bert_tiny_forecast_next_text_plus_vadbert_emoflow_seed42.pt
forecast,forecast_next,text_plus_vadbert_emoflow,73,20236,18216,False,0.5906512810483082,0.5732519621173486,0.6055191022260379,0.5839530684330962,0.4726849724264705,0.8421923509945072,finetuned_bert_tiny_forecast_next_text_plus_vadbert_emoflow_seed73.pt
forecast,forecast_next,text_plus_vadbert_emoflow,105,20236,18216,False,0.597896787873578,0.579260366863622,0.6047273262517479,0.5818586033915613,0.4720961409556641,0.8409982600388932,finetuned_bert_tiny_forecast_next_text_plus_vadbert_emoflow_seed105.pt
forecast,forecast_next,text_plus_all_affective,12,20236,18216,False,0.6063903281519862,0.5866237026338121,0.6035740174603675,0.5811547644633093,0.4786599082211091,0.8167070383132612,finetuned_bert_tiny_forecast_next_text_plus_all_affective_seed12.pt
forecast,forecast_next,text_plus_all_affective,24,20236,18216,False,0.5923109904244677,0.5744305827805629,0.6041697526292401,0.5817542552083093,0.4733467437767161,0.8349254546074852,finetuned_bert_tiny_forecast_next_text_plus_all_affective_seed24.pt
forecast,forecast_next,text_plus_all_affective,42,20236,18216,False,0.5991523533348204,0.5816191956789974,0.6050263502604564,0.5833097108967626,0.4705865627932103,0.847002831701409,finetuned_bert_tiny_forecast_next_text_plus_all_affective_seed42.pt
forecast,forecast_next,text_plus_all_affective,73,20236,18216,False,0.5899159663865546,0.5734576056848759,0.6016473299476293,0.5813042423308294,0.4681359759395072,0.8416976561700386,finetuned_bert_tiny_forecast_next_text_plus_all_affective_seed73.pt
forecast,forecast_next,text_plus_all_affective,105,20236,18216,False,0.5965793365140482,0.577765369433987,0.6037225493823043,0.582393541371486,0.4683856396743989,0.8490498447681758,finetuned_bert_tiny_forecast_next_text_plus_all_affective_seed105.pt
transition,change_subset,text_only,12,13505,12812,True,0.7207091663523199,0.7049391408444639,0.7231031650767579,0.7038896459141091,0.6183350440278753,0.8706168707689967,finetuned_bert_tiny_change_subset_text_only_seed12.pt
transition,change_subset,text_only,24,13505,12812,True,0.721570904867337,0.7061792525337303,0.7200195081804811,0.702195566319326,0.6007578936659927,0.89836084277782,finetuned_bert_tiny_change_subset_text_only_seed24.pt
