task_display,strategy,emotion,f1_mean,f1_std,delta_vs_text_f1_mean,delta_vs_text_f1_std
current,text_plus_vadlex_emoflow,anger,0.5243921126690634,0.003059161198507,-0.0012459182773241,0.0034703723342075
forecast,text_only,anger,0.4703357202322888,0.0065850237420197,0.0,0.0
forecast,text_only,anticipation,0.7421898143897241,0.0017914978493963,0.0,0.0
forecast,text_only,disgust,0.4743879879145098,0.0053212217546544,0.0,0.0
forecast,text_only,fear,0.5247004359739883,0.002354591247943,0.0,0.0
forecast,text_only,joy,0.6192442355616594,0.0098698443691383,0.0,0.0
forecast,text_only,sadness,0.5240642164399252,0.0039940261790396,0.0,0.0
forecast,text_only,surprise,0.6988977874471781,0.0025741732384587,0.0,0.0
forecast,text_only,trust,0.5880127756001798,0.0030843184175942,0.0,0.0
forecast,text_plus_all_affective,joy,0.6238209687977159,0.0030094996554023,0.0045767332360564,0.0100396500262134
forecast,text_plus_all_affective,sadness,0.5283691566819598,0.0012386123707453,0.0043049402420346,0.0036797507565528
forecast,text_plus_all_affective,anger,0.4720965575574167,0.0038902275814527,0.0017608373251279,0.0050063170877182
forecast,text_plus_all_affective,disgust,0.4759692359347374,0.0014098553559531,0.0015812480202275,0.0056451573438804
forecast,text_plus_all_affective,fear,0.5261769911592193,0.001649377158856,0.0014765551852311,0.0012470120947323
forecast,text_plus_all_affective,surprise,0.7002610172140977,0.0016534664800748,0.0013632297669196,0.0039638469231061
forecast,text_plus_all_affective,anticipation,0.7421844129043265,0.0016156614536918,-5.401485397538152e-06,0.0027994205997205
forecast,text_plus_all_affective,trust,0.5869880825836409,0.0013226637031107,-0.0010246930165388,0.0033011611389409
forecast,text_plus_vadbert_emoflow,joy,0.6252633810477616,0.0034282718703715,0.0060191454861021,0.0098142470114759
forecast,text_plus_vadbert_emoflow,surprise,0.7007538000458793,0.0020269219435709,0.0018560125987011,0.001410688807789
forecast,text_plus_vadbert_emoflow,anticipation,0.7432635388667254,0.001010109643249,0.0010737244770013,0.0019170248865579
forecast,text_plus_vadbert_emoflow,trust,0.5890013598323138,0.0039328522863594,0.0009885842321341,0.0048091259974347
forecast,text_plus_vadbert_emoflow,sadness,0.5245426964842915,0.0029112685339786,0.0004784800443663,0.0018915698426848
forecast,text_plus_vadbert_emoflow,anger,0.470331455527235,0.0052188131513088,-4.2647050538136e-06,0.0023256393547922
forecast,text_plus_vadbert_emoflow,disgust,0.4723020447265731,0.0063978994489567,-0.0020859431879367,0.0058319728448732
forecast,text_plus_vadbert_emoflow,fear,0.5217404449446494,0.005096989191166,-0.0029599910293387,0.0051625755297739
forecast,text_plus_vadbert_global,joy,0.6212528988360988,0.0061802432219097,0.0020086632744392,0.0103507471594123
forecast,text_plus_vadbert_global,trust,0.5893037469426469,0.0006293241937234,0.001290971342467,0.0029385481685104
forecast,text_plus_vadbert_global,anticipation,0.74260463527825,0.000914596130609,0.000414820888526,0.0017480007998846
forecast,text_plus_vadbert_global,surprise,0.699081263284455,0.0023582351862018,0.0001834758372768,0.0030526111679182
forecast,text_plus_vadbert_global,anger,0.4693689171778709,0.0044498921459154,-0.0009668030544179,0.0052738737956317
forecast,text_plus_vadbert_global,fear,0.5236058501798342,0.0015258780590703,-0.001094585794154,0.0038433632096439
forecast,text_plus_vadbert_global,disgust,0.472503956422322,0.0044808104189777,-0.0018840314921879,0.006469790669695
forecast,text_plus_vadbert_global,sadness,0.5201845100479858,0.0067448660859488,-0.0038797063919393,0.0079404174579964
forecast,text_plus_vadlex_emoflow,joy,0.6253897311186752,0.0041089086239743,0.0061454955570157,0.0105949553949854
forecast,text_plus_vadlex_emoflow,trust,0.5906867562223921,0.0036128166420611,0.0026739806222123,0.0033232020845325
forecast,text_plus_vadlex_emoflow,surprise,0.7006588146823167,0.0009402239536262,0.0017610272351386,0.0020146171566082
forecast,text_plus_vadlex_emoflow,sadness,0.5250832194123491,0.0031617732568595,0.0010190029724239,0.0065655032541655
forecast,text_plus_vadlex_emoflow,anticipation,0.7424410321215478,0.001081614148816,0.0002512177318236,0.0017467805213738
forecast,text_plus_vadlex_emoflow,fear,0.5242485293001617,0.001926022450255,-0.0004519066738264,0.0034253859990709
forecast,text_plus_vadlex_emoflow,anger,0.4695114245780299,0.004570737913601,-0.0008242956542588,0.0036933541169533
forecast,text_plus_vadlex_emoflow,disgust,0.4733628985375439,0.0040481927953973,-0.0010250893769659,0.0044079037654397
forecast-transition,text_only,anger,0.5460032751889462,0.007317380977618,0.0,0.0
forecast-transition,text_only,anticipation,0.8494031359939032,9.465545327757926e-05,0.0,0.0
forecast-transition,text_only,disgust,0.5439838950233236,0.0065156727554864,0.0,0.0
forecast-transition,text_only,fear,0.6146757237909363,0.0021662464723828,0.0,0.0
forecast-transition,text_only,joy,0.7150317726321805,0.0029914109166496,0.0,0.0
forecast-transition,text_only,sadness,0.6159993308905273,0.0060321085399247,0.0,0.0
forecast-transition,text_only,surprise,0.8028002412206098,0.0003136699612868,0.0,0.0
forecast-transition,text_only,trust,0.6783622704903693,0.0015294308460427,0.0,0.0
forecast-transition,text_plus_all_affective,sadness,0.6192827652298856,0.0025760574484233,0.0032834343393582,0.0069986774436828
forecast-transition,text_plus_all_affective,fear,0.6152557781603079,0.0013139792969257,0.0005800543693716,0.0031428202081938
forecast-transition,text_plus_all_affective,anger,0.5461949317721008,0.0019879593831635,0.0001916565831545,0.0056056207991788
forecast-transition,text_plus_all_affective,surprise,0.8029787655118232,4.8304956682576736e-05,0.0001785242912134,0.0002773082948889
forecast-transition,text_plus_all_affective,anticipation,0.8493851608894228,0.0001348490087981,-1.797510448029449e-05,4.019355552059951e-05
forecast-transition,text_plus_all_affective,trust,0.6778656065854911,0.0018832736795471,-0.0004966639048783,0.0022484013583212
forecast-transition,text_plus_all_affective,disgust,0.542971368322265,0.0033268197865149,-0.0010125267010585,0.0090611884778829
forecast-transition,text_plus_all_affective,joy,0.7135631381128082,0.0057340406262068,-0.0014686345193723,0.0074565889655472
